id_municipio,ano,populacao
2304202,2012,123963
2304202,2013,126591
2304202,2014,127657
2304202,2015,128680
2304202,2016,129662
2304202,2017,130604
2304202,2018,131372
2304202,2019,132123
2304400,2009,2505552
2304400,2010,2491070
2304400,2011,2476589
2304400,2012,2500194
2304400,2013,2551806
2304400,2014,2571896
2304400,2015,2591188
2304400,2016,2609716
2304400,2017,2627482
2304400,2018,2643247
2304400,2019,2669342
2305407,2009,65612
2305407,2010,65647
2305407,2011,65682
2305407,2012,65900
2305407,2013,66885
2305407,2014,67045
2305407,2015,67198
2305407,2016,67345
2305407,2017,67486
2305407,2018,67972
2305407,2019,68018
2305506,2009,97203
2305506,2010,97267
2305506,2011,97331
2305506,2012,98138
2305506,2013,100053
2305506,2014,100733
2305506,2015,101386
2305506,2016,102013
2305506,2017,102614
2305506,2018,103255
2305506,2019,102498
2307304,2009,249829
2307304,2010,251335
2307304,2011,252841
2307304,2012,255648
2307304,2013,261289
2307304,2014,263704
2307304,2015,266022
2307304,2016,268248
2307304,2017,270383
2307304,2018,271926
2307304,2019,274207
2307650,2009,201693
2307650,2010,206480
2307650,2011,211267
2307650,2012,213404
2307650,2013,217922
2307650,2014,219749
2307650,2015,221504
2307650,2016,223188
2307650,2017,224804
2307650,2018,226128
2307650,2019,227886
2309706,2009,71839
2309706,2010,72860
2309706,2011,73881
2309706,2012,75411
2309706,2013,77723
2309706,2014,79077
2309706,2015,80378
2309706,2016,81627
2309706,2017,82824
2309706,2018,83157
2309706,2019,83432
2311306,2009,80447
2311306,2010,80946
2311306,2011,81445
2311306,2012,82258
2311306,2013,83990
2311306,2014,84684
2311306,2015,85351
2311306,2016,85991
2311306,2017,86605
2311306,2018,87116
2311306,2019,87728
2312908,2009,182431
2312908,2010,186578
2312908,2011,190724
2312908,2012,193134
2312908,2013,197663
2312908,2014,199750
2312908,2015,201756
2312908,2016,203682
2312908,2017,205529
2312908,2018,206644
2312908,2019,208935
2402006,2009,63006
2402006,2010,63077
2402006,2011,63148
2402006,2012,63571
2402006,2013,66246
2402006,2014,66759
2402006,2015,67259
2402006,2016,67747
2402006,2017,68222
2402006,2018,67554
2402006,2019,67952
2403251,2009,184222
2403251,2010,196324
2403251,2011,208426
2403251,2012,214199
2403251,2013,229414
2403251,2014,235983
2403251,2015,242384
2403251,2016,248623
2403251,2017,254709
2403251,2018,255793
2403251,2019,261469
2408102,2009,806203
2408102,2010,808492
2408102,2011,810780
2408102,2012,817590
2408102,2013,853928
2408102,2014,862044
2408102,2015,869954
2408102,2016,877662
2408102,2017,885180
2408102,2018,877640
2408102,2019,884122
2503704,2009,57875
2503704,2010,58334
2503704,2011,58794
2503704,2012,59130
2503704,2013,60612
2503704,2014,61030
2503704,2015,61431
2503704,2016,61816
2503704,2017,62187
2503704,2018,61776
2503704,2019,61993
2506301,2009,56136
2506301,2010,55896
2506301,2011,55657
2506301,2012,55977
2506301,2013,57383
2506301,2014,57780
2506301,2015,58162
2506301,2016,58529
2506301,2017,58881
2506301,2018,58492
2506301,2019,58833
2507507,2009,702235
2507507,2010,717695
2507507,2011,733155
2507507,2012,742478
2507507,2013,769607
2507507,2014,780738
2507507,2015,791438
2507507,2016,801718
2507507,2017,811598
